City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
221,Tual,ID,-5.6667,132.75,80.38,81,25,11.16,scattered clouds
222,Qaqortoq,GL,60.7167,-46.0333,43.65,91,28,2.89,scattered clouds
223,Beipiao,CN,41.7919,120.7792,58.8,60,0,3.53,clear sky
224,Calabozo,VE,8.9242,-67.4293,79.41,85,49,4.65,scattered clouds
225,Ponta Do Sol,PT,32.6667,-17.1,74.03,79,7,1.59,clear sky
226,Constitucion,CL,-35.3333,-72.4167,48.45,82,92,5.35,overcast clouds
227,Henties Bay,NA,-22.116,14.2845,56.91,83,0,6.11,clear sky
228,Tilichiki,RU,60.4667,166.1,49.66,66,71,6.22,broken clouds
229,Husavik,IS,66.0449,-17.3389,51.35,86,56,4.45,broken clouds
230,Xiaoweizhai,CN,26.1903,107.5125,68.07,68,57,2.26,broken clouds
231,Shaunavon,CA,49.6501,-108.4181,96.58,10,0,27.54,clear sky
232,Killybegs,IE,54.6333,-8.45,57.76,89,99,12.8,overcast clouds
233,Muros,ES,42.7762,-9.0603,66.09,88,93,3.87,overcast clouds
234,Filimonovo,RU,56.2011,95.4611,61.41,64,97,8.68,overcast clouds
235,Gainesville,US,29.6516,-82.3248,91.24,58,0,5.75,clear sky
236,Morondava,MG,-20.2833,44.2833,71.26,67,0,11.36,clear sky
237,Alcantara,BR,-2.4089,-44.4147,82.6,83,39,9.66,scattered clouds
238,Kurduvadi,IN,18.0833,75.4333,77.45,82,100,5.23,overcast clouds
239,Faanui,PF,-16.4833,-151.75,78.22,74,9,21.18,clear sky
240,Saskylakh,RU,71.9167,114.0833,36.73,84,98,7.27,overcast clouds
241,Carnarvon,AU,-24.8667,113.6333,62.17,49,98,10.96,overcast clouds
242,Tommot,RU,58.9564,126.2925,41.83,86,95,12.84,overcast clouds
243,Monrovia,LR,6.3005,-10.7969,75.92,87,100,9.04,light rain
244,Guozhen,CN,34.3659,107.359,68.47,85,100,0.81,overcast clouds
245,Victoria,HK,22.2855,114.1577,83.32,83,99,5.99,overcast clouds
246,Touros,BR,-5.1989,-35.4608,75.38,78,0,17.65,clear sky
247,Roebourne,AU,-20.7833,117.1333,64.94,57,2,5.99,clear sky
248,Marawi,PH,7.9986,124.2928,68.88,93,99,1.59,overcast clouds
249,La Ronge,CA,55.1001,-105.2842,70.05,43,75,8.05,broken clouds
250,Mirador,BR,-6.3708,-44.3631,83.03,29,43,4.25,scattered clouds
251,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,83.71,23,29,1.74,scattered clouds
252,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,93,0,14.97,clear sky
253,Kubuta,SZ,-26.8833,31.4833,56.66,88,0,3.4,clear sky
254,Linxia,CN,35.6003,103.2064,53.56,70,85,5.91,overcast clouds
255,Fairbanks,US,64.8378,-147.7164,54.61,85,75,1.01,broken clouds
256,Pisco,PE,-13.7,-76.2167,62.65,77,100,10.36,overcast clouds
257,Canon City,US,38.441,-105.2424,98.76,11,0,19.57,clear sky
258,Clyde River,CA,70.4692,-68.5914,35.83,100,100,14.97,overcast clouds
259,Gat,IL,31.61,34.7642,77.81,100,0,4.32,clear sky
260,Sukhumi,GE,43.0033,41.0153,63.77,61,62,5.23,broken clouds
261,Vila Franca Do Campo,PT,37.7167,-25.4333,73.81,93,70,8.3,broken clouds
262,Zhigansk,RU,66.7697,123.3711,43.39,80,96,5.3,overcast clouds
263,Chokurdakh,RU,70.6333,147.9167,53.02,54,100,10.45,overcast clouds
264,Marienburg,PL,54.0359,19.0266,55.89,64,96,8.21,overcast clouds
265,Aksarka,RU,66.5606,67.7975,30.16,88,54,6.33,broken clouds
266,Santa Cruz De Tenerife,ES,28.4682,-16.2546,75.92,87,40,18.41,scattered clouds
267,Diamantino,BR,-14.4086,-56.4461,90.1,24,11,3.91,few clouds
268,Bambous Virieux,MU,-20.3428,57.7575,70.05,78,75,6.91,broken clouds
269,Klaksvik,FO,62.2266,-6.589,58.12,97,57,18.16,light rain
270,Sibolga,ID,1.7427,98.7792,76.14,88,100,3.67,overcast clouds
271,Athabasca,CA,54.7169,-113.2854,61.21,79,100,5.3,overcast clouds
272,Souillac,MU,-20.5167,57.5167,70.18,78,75,6.91,broken clouds
273,San Juan,AR,-31.5375,-68.5364,80.64,4,0,30.42,clear sky
274,Saint Anthony,US,45.0205,-93.218,89.76,50,0,8.05,clear sky
275,Ambon,ID,-3.6954,128.1814,78.24,15,20,5.75,few clouds
276,Valparaiso,CL,-33.0393,-71.6273,55.99,96,100,9.22,overcast clouds
277,Comodoro Rivadavia,AR,-45.8667,-67.5,37.26,81,100,4.61,light rain
278,Kuusamo,FI,65.9667,29.1833,37.44,87,100,2.3,overcast clouds
279,Saint-Donat-De-Montcalm,CA,46.3187,-74.2219,67.86,66,0,3.04,clear sky
280,Emerald,AU,-23.5333,148.1667,60.94,100,75,5.75,light rain
281,Serafimovich,RU,49.5786,42.736,49.62,49,13,4.72,few clouds
282,Adrar,MR,20.5022,-10.0711,99.25,13,4,8.28,clear sky
283,Hofn,IS,64.2539,-15.2082,52.16,90,100,4.32,overcast clouds
284,Presidente Medici,BR,-11.1753,-61.9014,92.61,26,8,3.44,clear sky
285,Kalisz,PL,51.7611,18.091,59.02,46,100,10.13,overcast clouds
286,Iquitos,PE,-3.7481,-73.2472,84.24,79,40,2.3,scattered clouds
287,Saldanha,ZA,-33.0117,17.9442,51.85,89,0,16.49,clear sky
288,Khatanga,RU,71.9667,102.5,29.41,90,96,8.66,overcast clouds
289,Raudeberg,NO,61.9875,5.1352,54.27,67,53,8.86,broken clouds
290,Saint-Pierre,RE,-21.3393,55.4781,69.91,64,100,5.75,overcast clouds
291,Hukeri,IN,16.2333,74.6,71.58,95,100,4.97,heavy intensity rain
292,Dubbo,AU,-32.25,148.6167,57.33,72,75,12.66,broken clouds
293,Urucui,BR,-7.2294,-44.5561,84.52,29,65,6.31,broken clouds
294,Christchurch,NZ,-43.5333,172.6333,52.95,75,75,2.3,broken clouds
295,Soe,ID,-9.8607,124.284,61.14,74,68,3.42,broken clouds
296,Chicama,PE,-7.8447,-79.1469,61.34,69,68,10.04,broken clouds
297,Birao,CF,10.2849,22.7882,72.77,95,100,3.6,moderate rain
